 sceID, scenario, algID, algorithm, datasetID: MF1_mu, MF1_sigma, Patn_mu, Patn_sigma, AP_mu, AP_sigma, ROC_mu, ROC_sigma
 7, seq-small-dyn, 2, simpleCod, 19: 0.764000, 0.224000, 0.664000, 0.307000, 0.674000, 0.326000, 0.944000, 0.064000 
 7, seq-small-dyn, 3, abstractC, 19: 0.745000, 0.217000, 0.634000, 0.298000, 0.647000, 0.321000, 0.940000, 0.065000 
 7, seq-small-dyn, 4, mcod, 19: 0.784000, 0.189000, 0.667000, 0.297000, 0.608000, 0.333000, 0.933000, 0.088000 
 8, nos-small-dyn, 0, approxSTORM, 19: 0.682000, 0.198000, 0.494000, 0.293000, 0.505000, 0.301000, 0.920000, 0.072000 
 8, nos-small-dyn, 1, exactSTORM, 19: 0.702000, 0.186000, 0.514000, 0.293000, 0.517000, 0.312000, 0.926000, 0.068000 
 8, nos-small-dyn, 2, simpleCod, 19: 0.708000, 0.186000, 0.529000, 0.293000, 0.528000, 0.319000, 0.928000, 0.067000 
 8, nos-small-dyn, 3, abstractC, 19: 0.697000, 0.184000, 0.509000, 0.284000, 0.512000, 0.297000, 0.925000, 0.068000 
 8, nos-small-dyn, 4, mcod, 19: 0.736000, 0.229000, 0.606000, 0.343000, 0.569000, 0.382000, 0.902000, 0.165000 
 9, sty-big-dyn, 0, approxSTORM, 19: 0.971000, 0.079000, 0.956000, 0.115000, 0.991000, 0.028000, 0.981000, 0.049000 
 9, sty-big-dyn, 1, exactSTORM, 19: 0.972000, 0.075000, 0.958000, 0.110000, 0.991000, 0.027000, 0.983000, 0.043000 
 9, sty-big-dyn, 2, simpleCod, 19: 0.972000, 0.075000, 0.958000, 0.110000, 0.991000, 0.026000, 0.983000, 0.043000 
 9, sty-big-dyn, 3, abstractC, 19: 0.972000, 0.075000, 0.958000, 0.111000, 0.991000, 0.027000, 0.983000, 0.043000 
 9, sty-big-dyn, 4, mcod, 19: 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000 
 10, seq-big-dyn, 0, approxSTORM, 19: 0.978000, 0.068000, 0.972000, 0.080000, 0.994000, 0.023000, 0.987000, 0.037000 
 10, seq-big-dyn, 1, exactSTORM, 19: 0.983000, 0.053000, 0.972000, 0.084000, 0.995000, 0.018000, 0.990000, 0.029000 
 10, seq-big-dyn, 2, simpleCod, 19: 0.977000, 0.067000, 0.972000, 0.085000, 0.993000, 0.023000, 0.990000, 0.030000 
 10, seq-big-dyn, 3, abstractC, 19: 0.974000, 0.066000, 0.966000, 0.083000, 0.987000, 0.023000, 0.990000, 0.029000 
 10, seq-big-dyn, 4, mcod, 19: 0.976000, 0.012000, 0.955000, 0.022000, 0.955000, 0.019000, 0.997000, 0.001000 
 11, nos-big-dyn, 0, approxSTORM, 19: 0.962000, 0.092000, 0.956000, 0.098000, 0.987000, 0.043000, 0.979000, 0.048000 
 11, nos-big-dyn, 1, exactSTORM, 19: 0.975000, 0.058000, 0.960000, 0.090000, 0.993000, 0.019000, 0.982000, 0.041000 
 11, nos-big-dyn, 2, simpleCod, 19: 0.969000, 0.063000, 0.957000, 0.091000, 0.992000, 0.022000, 0.982000, 0.041000 
 11, nos-big-dyn, 3, abstractC, 19: 0.965000, 0.063000, 0.953000, 0.089000, 0.986000, 0.021000, 0.981000, 0.042000 
 11, nos-big-dyn, 4, mcod, 19: 0.976000, 0.037000, 0.954000, 0.061000, 0.965000, 0.033000, 0.990000, 0.037000 
